item_id,item_name,course_type,cuisine_family
1,ragi_dosa,bread,south_indian
2,uthappam,bread,south_indian
3,kambu_dosa,bread,south_indian
4,wheat_dosa,bread,south_indian
5,pesarattu,bread,south_indian
6,plain_dosa,bread,south_indian
7,milllet_dosa,bread,south_indian
8,onion_uthappam,bread,south_indian
9,mallige_dosa,bread,south_indian
10,adai_dosa,bread,south_indian
11,onion_tomato_dosa,bread,south_indian
12,ragi_masala_dosa,bread,south_indian
13,herbed_rolls,bread,continental
14,tomato_thyme_loaf,bread,continental
15,chicken_65,nonveg_main,south_indian
16,tawa_murgh,nonveg_main,north_indian
17,south_indian_chilli_chicken,nonveg_main,south_indian
18,chicken_ghee_roast,nonveg_main,south_indian
19,malabar_roast_chicken,nonveg_main,south_indian
20,bhuna_murgh,nonveg_main,north_indian
21,kadai_murgh_hara_pyaz,nonveg_main,north_indian
22,pudina_murgh,nonveg_main,north_indian
23,punjabi_tala_murgh,nonveg_main,north_indian
24,kosha_mangsho,nonveg_main,north_indian
25,chicken_coconut_fry,nonveg_main,south_indian
26,kori_ajadina,nonveg_main,north_indian
27,murgh_shimlamirchi,nonveg_main,north_indian
28,murgh_mirch_masala,nonveg_main,north_indian
29,murgh_jalfrezi,nonveg_main,north_indian
30,murgh_takatin,nonveg_main,north_indian
31,murgh_ke_parchey,nonveg_main,north_indian
32,murgh_tawa_masala,nonveg_main,north_indian
33,murgh_makhni,nonveg_main,north_indian
34,chettinad_chicken_curry,nonveg_main,south_indian
35,kadhai_murgh,nonveg_main,north_indian
36,malabar_chicken_curry,nonveg_main,south_indian
37,murgh_do_pyaza,nonveg_main,north_indian
38,awadhi_murgh_korma,nonveg_main,north_indian
39,mangalore_chicken_curry,nonveg_main,south_indian
40,murgh_kalimirchi,nonveg_main,north_indian
41,guntur_chicken_curry,nonveg_main,south_indian
42,murgh_khada_masala,nonveg_main,north_indian
43,madras_chicken_curry,nonveg_main,south_indian
44,lahori_murgh,nonveg_main,north_indian
45,tandoori_murgh_lababdar,nonveg_main,north_indian
46,murgh_saagwala,nonveg_main,north_indian
47,murgh_khurchan,nonveg_main,north_indian
48,murgh_korma,nonveg_main,north_indian
49,kottayam_chicken_curry,nonveg_main,south_indian
50,goan_chicken_curry,nonveg_main,south_indian
51,murgh_makkhan_palak,nonveg_main,north_indian
52,curd,curd_side,south_indian
53,lasooni_moong_dal,dal,north_indian
54,dhaba_dal,dal,north_indian
55,dal_makhni,dal,north_indian
56,dal_channa_masala,dal,north_indian
57,yellow_moong_palak,dal,north_indian
58,toor_daal_fry,dal,north_indian
59,dal_tamater,dal,north_indian
60,dal_adraki,dal,north_indian
61,dal_kabila,dal,north_indian
62,malka_masoor,dal,north_indian
63,mutter_dal_masala,dal,north_indian
64,gujrati_kadi,dal,north_indian
65,masoor_moong_tadka,dal,north_indian
66,tiranga_chilka_dal,dal,north_indian
67,lasooni_dal,dal,north_indian
68,methi_dal_fry,dal,north_indian
69,methi_dal,dal,north_indian
70,gulab_jamoon,dessert,north_indian
71,shahi_tukda,dessert,north_indian
72,moong_dal_halwa,dessert,north_indian
73,boondi_laddu,dessert,north_indian
74,dry_fruit_burfi,dessert,north_indian
75,jalebi,dessert,north_indian
76,mysore_pak,dessert,south_indian
77,badusha,dessert,south_indian
78,besan_laddu,dessert,north_indian
79,fruit_custard,dessert,south_indian
80,malpua,dessert,south_indian
81,malai_burfi,dessert,north_indian
82,gajjar_halwa,dessert,north_indian
83,paruppu_payasam,dessert,south_indian
84,chumchum,dessert,north_indian
85,sweet_boondi,dessert,south_indian
86,anda_mirch_masala,nonveg_main,north_indian
87,anda_ghotala,nonveg_main,north_indian
88,mutta_kara_kolumbu,nonveg_main,south_indian
89,afgani_anda_curry,nonveg_main,north_indian
90,punjabi_anda_curry,nonveg_main,north_indian
91,kolkata_egg_curry,nonveg_main,north_indian
92,malabar_egg_roast,nonveg_main,south_indian
93,luckhnowi_anda_korma,nonveg_main,north_indian
94,omelette_curry,nonveg_main,north_indian
95,anda_tawa_masala,nonveg_main,north_indian
96,egg_ghee_roast,nonveg_main,south_indian
97,anda_kofta_curry,nonveg_main,north_indian
98,anda_tamater_dhaniya_curry,nonveg_main,north_indian
99,mutta_thiel,nonveg_main,south_indian
100,anda_lababdar,nonveg_main,north_indian
101,anda_tarriwala,nonveg_main,north_indian
102,ajwaini_anda_masala,nonveg_main,north_indian
103,chettinad_egg_curry,nonveg_main,south_indian
104,hyderabadi_anda,nonveg_main,south_indian
105,fried_poondu_rice,rice,south_indian
106,vangi_bhat,rice,south_indian
107,chow_chow_rice,rice,south_indian
108,tomato_rice,rice,south_indian
109,curd_rice,rice,south_indian
110,pulioghre,rice,south_indian
111,bisi_bele_bhat,rice,south_indian
112,lemon_rice,rice,south_indian
113,raw_mango_rice,rice,south_indian
114,capsicum_rice,rice,south_indian
115,venthayam_rice,rice,south_indian
116,puli_sadam,rice,south_indian
117,soya_pulao,rice,north_indian
118,capsicum_peas_pulao,rice,north_indian
119,chettinadu_veg_biriyani,rice,south_indian
120,bagara_rice,rice,south_indian
121,veg_khuska,rice,north_indian
122,coconut_rice,rice,south_indian
123,methi_rice,rice,north_indian
124,mutter_pulao,rice,north_indian
125,onion_pulao,rice,north_indian
126,subz_pulao,rice,north_indian
127,dhaniya_pulao,rice,north_indian
128,corn_pulao,rice,north_indian
129,basanti_pulao,rice,north_indian
130,dum_ka_pulao,rice,south_indian
131,mix_veg_tehri,rice,north_indian
132,bhune_pyaj_makai_ka_pulao,rice,north_indian
133,kashmiri_pulao,rice,north_indian
134,awadhi_pulao,rice,north_indian
135,yakhani_pulao,rice,north_indian
136,mothiya_pulao,rice,north_indian
137,doodhiya_pulao,rice,north_indian
138,mutter_jeera_pulao,rice,north_indian
139,barista_pulao,rice,north_indian
140,bhune_pyaz_ka_pulao,rice,north_indian
141,kabuli_pulao,rice,north_indian
142,yakhni_veg_pulao,rice,north_indian
143,zafrani_pulao,rice,north_indian
144,methi_pulao,rice,north_indian
145,kadhe_masale_ka_pulao,rice,north_indian
146,soya_ki_tehri,rice,north_indian
147,awadhi_chilman_biryani,rice,north_indian
148,green_salad,salad,continental
149,brown_rice,healthy_rice,south_indian
150,red_rice_khichdi,healthy_rice,north_indian
151,jeera_brown_rice,healthy_rice,north_indian
152,red_rice_pongal,rice,south_indian
153,millet_pulao,healthy_rice,north_indian
154,veg_pulao_(brown_rice),healthy_rice,north_indian
155,tomato_red_rice,healthy_rice,south_indian
156,palak_millet,healthy_rice,north_indian
157,boiled_red_rice,healthy_rice,south_indian
158,steamed_broken_wheat,healthy_rice,north_indian
159,multigrain_daliya,healthy_rice,north_indian
160,methi_millet_pulao,healthy_rice,north_indian
161,moong_dal_red_rice_khichdi,rice,north_indian
162,vegetable_millet_pulao,healthy_rice,north_indian
163,brown_jeera_rice,healthy_rice,north_indian
164,navratan_pulao,healthy_rice,north_indian
165,yellow,healthy_rice,north_indian
166,birista_pulao,healthy_rice,north_indian
167,lemon_brown_rice,healthy_rice,south_indian
168,red_rice_upma,healthy_rice,south_indian
169,brown_rice_pongal,healthy_rice,south_indian
170,curry_leaf_millet_rice,healthy_rice,south_indian
171,vegetable_broken_wheat_pulao,healthy_rice,north_indian
172,carrot_brown_rice,healthy_rice,south_indian
173,sprouts_&_millet_pulao,healthy_rice,north_indian
174,masala_broken_wheat_khichdi,rice,north_indian
175,triangle_paratha,bread,north_indian
176,ceylon_paratha,bread,south_indian
177,laccha_paratha,bread,north_indian
178,pudina_paratha,bread,north_indian
179,tawa_kulcha,bread,north_indian
180,methi_thepla,bread,north_indian
181,palak_ragi_oats_paratha,bread,south_indian
182,gehun_bajra_masala_paratha,bread,north_indian
183,sweet_potato_paratha,bread,north_indian
184,lauki_thepla,bread,north_indian
185,pyaz_laccha_paratha,bread,north_indian
186,nool_paratha,bread,south_indian
187,kuttu_paratha,bread,north_indian
188,sattu_paratha,bread,north_indian
189,lauki_paratha,bread,north_indian
190,sprout_paratha,bread,north_indian
191,mutter_kulcha,bread,north_indian
192,garlic_paratha,bread,north_indian
193,citrus_delight,welcome_drink,drink
194,berry_blast,welcome_drink,drink
195,cucumber_mint_refresher,welcome_drink,drink
196,apple_cinnamon_infusion,welcome_drink,drink
197,lemon_basil_breeze,welcome_drink,drink
198,berry_lemon_zest,welcome_drink,drink
199,watermelon_lime_splash,welcome_drink,drink
200,lemon_mint,welcome_drink,drink
201,cinnamon_pears,welcome_drink,drink
202,green_apple_mint,welcome_drink,drink
203,basil_cinnamon,welcome_drink,drink
204,pineapple_coconut,welcome_drink,drink
205,strawberry_kiwi,welcome_drink,drink
206,ginger_lemon,welcome_drink,drink
207,orange_mint,welcome_drink,drink
208,cinnamon_basil,welcome_drink,drink
209,myos,salad,continental
210,greek_salad,salad,continental
211,caprese_salad,salad,continental
212,mediterranean_quinoa_salad,salad,continental
213,red_kidney_bean_salad,salad,continental
214,asian_sesame_ginger_salad,salad,chinese
215,roasted_beet_salad_with_cottage_cheese,salad,continental
216,cucumber_tomato_salad,salad,continental
217,kale_caesar_salad,salad,continental
218,chickpea_salad_with_lemon_tahini,salad,continental
219,summer_corn_salad,salad,continental
220,roasted_vegetable_salad,salad,continental
221,pear_and_walnut_salad_with_gorgonzola,salad,continental
222,tabbouleh_salad,salad,continental
223,babycorn_and_sweet_pepper_salad,salad,continental
224,zucchini_pesto_salad,salad,continental
225,spicy_cabbage_salad,salad,chinese
226,koshimbiri_salad,salad,south_indian
227,corn_and_tomato_salad,salad,continental
228,three_bean_salad,salad,continental
229,mediterranean_salad,salad,continental
230,beetroot_salad_with_yoghurt_dressing,salad,continental
231,caesar_salad,salad,continental
232,chickpea_salad_with_lemon_dressing,salad,continental
233,papad,accompaniment,north_indian
234,pickle,accompaniment,south_indian
235,traditional_tomato_rassam,rasam,south_indian
236,lemon_rassam,rasam,south_indian
237,pepper_rassam,rasam,south_indian
238,garlic_rassam,rasam,south_indian
239,mysore_rassam,rasam,south_indian
240,paruppu_rassam,rasam,south_indian
241,murungakkai_rassam,rasam,south_indian
242,coconut_rassam,rasam,south_indian
243,tamrind_rassam,rasam,south_indian
244,karivepaku_rassam,rasam,south_indian
245,jeera_rassam,rasam,south_indian
246,tomato_garlic_rassam,rasam,south_indian
247,mango_rassam,rasam,south_indian
248,ginger_rassam,rasam,south_indian
249,malli_rassam,rasam,south_indian
250,vendhaya_rassam,rasam,south_indian
251,lemon_coconut_rassam,rasam,south_indian
252,butter_chapatti,bread,north_indian
253,jeera_chapatti,bread,north_indian
254,methi_chapatti,bread,north_indian
255,palak_chapatti,bread,north_indian
256,beetroot_chapatti,bread,north_indian
257,hara_pyaz_chapatti,bread,north_indian
258,sesame_chapatti,bread,north_indian
259,plain_phulka,bread,north_indian
260,carrot_chapatti,bread,north_indian
261,pudina_chapatti,bread,north_indian
262,saunf_chapatti,bread,north_indian
263,plain_chapatti,bread,north_indian
264,masala_chapatti,bread,north_indian
265,dill_chapatti,bread,north_indian
266,banana_chapatti,bread,north_indian
267,ajwain_chapatti,bread,north_indian
268,roasted_jeera_chapatti,bread,north_indian
269,dhaniya_chapatti,bread,north_indian
270,drumstick_sambar,sambar,south_indian
271,brinjal_sambar,sambar,south_indian
272,moolangi_sambar,sambar,south_indian
273,beerakai_sambar,sambar,south_indian
274,knol_khol_sambar,sambar,south_indian
275,chow_chow_sambar,sambar,south_indian
276,carrot_sambar,sambar,south_indian
277,mangalore_cucumber_sambar,sambar,south_indian
278,kovakai_sambar,sambar,south_indian
279,beetroot_sambar,sambar,south_indian
280,ulli_sambar,sambar,south_indian
281,potlakai_sambar,sambar,south_indian
282,cucumber_sambar,sambar,south_indian
283,pumpkin_sambar,sambar,south_indian
284,aravai_sambar,sambar,south_indian
285,katrikai_sambar,sambar,south_indian
286,allesande_kalu_sambar,sambar,south_indian
287,heerakai_soppu_sambar,sambar,south_indian
288,kerala_sambar,sambar,south_indian
289,cream_of_corn_soup,soup,continental
290,mexican_veg_soup,soup,continental
291,mint_&_peas_soup,soup,continental
292,curried_lentil_soup,soup,north_indian
293,cream_of_mushroom,soup,continental
294,hot_&_sour_soup,soup,chinese
295,cabbage_chowder,soup,continental
296,cream_of_carrot,soup,continental
297,minestrone,soup,continental
298,mulligatwany,soup,continental
299,potato_leek_soup,soup,continental
300,manchow_soup,soup,chinese
301,tomato_basil_soup,soup,continental
302,vegetable_barley_broth,soup,continental
303,sweet_corn_&_mushroom_soup,soup,chinese
304,cream_of_broccoli,soup,continental
305,baked_pumkin_soup,soup,continental
306,palak_shorba,soup,north_indian
307,lemon_coriander_soup,soup,chinese
308,steamed_rice,rice,south_indian
309,cocktail_samosa,starter,north_indian
310,palak_pakodi_chat,starter,north_indian
311,pyaz_pakora,starter,north_indian
312,corn_cheese_croquette,starter,continental
313,ragda_pattice,starter,south_indian
314,aloo_chop,starter,north_indian
315,mini_kachori_chat,starter,north_indian
316,mirchi_bajji,starter,south_indian
317,masala_butter_corn,starter,north_indian
318,bruschetta,starter,continental
319,vegetable_spring_roll,starter,chinese
320,tandoori_pineapple,starter,north_indian
321,hummus_&_pita_bread,starter,continental
322,stuffed_bell_pepper,starter,continental
323,aloo_tikki,starter,north_indian
324,spinach_cheese_samosa,starter,continental
325,falafel,starter,continental
326,veg_bread_rolls,starter,north_indian
327,cheese_chilli_toast,starter,continental
328,tendli_methi_bhaji,veg_dry,north_indian
329,gavar_bhaji,veg_dry,north_indian
330,katta_meetha_kaddu,veg_dry,north_indian
331,bihari_karela_bhujia,veg_dry,north_indian
332,soya_keema_mutter,veg_dry,north_indian
333,carrot_beans_bhujia,veg_dry,north_indian
334,subz_panchmel_sukhi,veg_dry,north_indian
335,mix_kathol,veg_dry,north_indian
336,beetroot_masala,veg_dry,north_indian
337,makai_methi_dry,veg_dry,north_indian
338,subz_jalfrezi,veg_dry,north_indian
339,tindli_pyaz_bhujia,veg_dry,north_indian
340,aloo_hing_jeera,veg_dry,north_indian
341,yam_ki_subji_dry,veg_dry,north_indian
342,bhindi_jalfrezi,veg_dry,north_indian
343,achari_bhindi,veg_dry,north_indian
344,pindi_chole,veg_dry,north_indian
345,lauki_channa,veg_dry,north_indian
346,miloni_subz_chatpata,veg_dry,north_indian
347,bhindi_pepper_fry,veg_dry,north_indian
348,gobhi_mutter_bhaji,veg_dry,north_indian
349,aloo_karela_bhaji,veg_dry,north_indian
350,bhindi_masala,veg_dry,north_indian
351,padvalakayi_palya,veg_dry,south_indian
352,beetroot_channa_palya,veg_dry,south_indian
353,soppu_moong_palya,veg_dry,south_indian
354,nugge_batate_ajadina,veg_dry,south_indian
355,allesande_kallu_palya,veg_dry,south_indian
356,yam_pepper_masala,veg_dry,south_indian
357,cabbage_peas_thoran,veg_dry,south_indian
358,avial,veg_dry,south_indian
359,soya_capsicum_masala,veg_dry,south_indian
360,vazhakai_poriyal,veg_dry,south_indian
361,beans_carrot_thoran,veg_dry,south_indian
362,beeja_manoli_upkari,veg_dry,south_indian
363,chikkudikayi_palya,veg_dry,south_indian
364,yam_chops,veg_dry,south_indian
365,malabar_potato_roast,veg_dry,south_indian
366,sorakai_masala,veg_dry,south_indian
367,aloo_pepper_fry,veg_dry,south_indian
368,vendakai_poriyal,veg_dry,south_indian
369,soya_65,veg_dry,south_indian
370,punjabi_aloo_wadiya,veg_gravy,north_indian
371,turai_methi_tamater,veg_gravy,north_indian
372,paneer_do_pyaza,veg_gravy,north_indian
373,bharwan_parwal,veg_gravy,north_indian
374,subz_handi_lazeez,veg_gravy,north_indian
375,kacche_kele_ka_kofta,veg_gravy,north_indian
376,punjabi_chole_masala,veg_gravy,north_indian
377,paneer_pasanda,veg_gravy,north_indian
378,soya_tamatar,veg_gravy,north_indian
379,subz_wadhi_korma,veg_gravy,north_indian
380,paneer_hara_pyaz,veg_gravy,north_indian
381,rajma_raseela,veg_gravy,north_indian
382,dhokar_dalna,veg_gravy,north_indian
383,lobia_chi_masala,veg_gravy,north_indian
384,nimona,veg_gravy,north_indian
385,paneer_saagwala,veg_gravy,north_indian
386,subz_makhni,veg_gravy,north_indian
387,gujrati_dum_aloo,veg_gravy,north_indian
388,gatta_curry,veg_gravy,north_indian
389,hariyali_chole,veg_gravy,north_indian
390,malai_kofta_curry,veg_gravy,north_indian
391,subz_shabnam_curry,veg_gravy,north_indian
392,punjabi_aloo_raseela,veg_gravy,north_indian
393,lauki_kofta_curry,veg_gravy,north_indian
394,punjabi_rajma_masala,veg_gravy,north_indian
395,paneer_kaliya,veg_gravy,north_indian
396,aloo_methi_malai,veg_gravy,north_indian
397,subz_diwani_hundi,veg_gravy,north_indian
398,mukadalai_kurma,veg_gravy,south_indian
399,kaikari_kurma,veg_gravy,south_indian
400,chettinadi_paneer_curry,veg_gravy,south_indian
401,vazhakai_mocchai_curry,veg_gravy,south_indian
402,urulai_battani_curry,veg_gravy,south_indian
403,vegetable_malliperlan,veg_gravy,south_indian
404,keerai_masiyal,veg_gravy,south_indian
405,palkatti_battani_masala,veg_gravy,south_indian
406,potlakai_channa_curry,veg_gravy,south_indian
407,paruppu_urundai_kurma,veg_gravy,south_indian
408,beetroot_channa_kootu,veg_gravy,south_indian
409,paneer_kurma,veg_gravy,south_indian
410,cauliflower_green_peas_gojju,veg_gravy,south_indian
411,vendakai_puli_kozhambu,veg_gravy,south_indian
412,veg_kurma,veg_gravy,south_indian
413,paneer_capsicum_curry,veg_gravy,south_indian
414,udupi_veg_kurma,veg_gravy,south_indian
415,soppu_kootu,veg_gravy,south_indian
416,channa_coconut_curry,veg_gravy,south_indian
417,soya_battani_curry,veg_gravy,south_indian
418,virgin_mojito,welcome_drink,drink
419,cucumber_lemonade,welcome_drink,drink
420,pineapple_ginger_punch,welcome_drink,drink
421,rosemary_grapefruit_spritzer,welcome_drink,drink
422,watermelon_cooler,welcome_drink,drink
423,peach_iced_tea,welcome_drink,drink
424,coconut_mint_cooler,welcome_drink,drink
425,aam_panna,welcome_drink,drink
426,sparkling_apple_cider,welcome_drink,drink
427,mint_lemonade,welcome_drink,drink
428,passion_fruit_iced_tea,welcome_drink,drink
429,orange_blossom,welcome_drink,drink
430,pomegranate_spritzer,welcome_drink,drink
431,lychee_ginger_cooler,welcome_drink,drink
432,mango_lassi,welcome_drink,drink
433,mojito,welcome_drink,drink
434,rooafza_sherbat,welcome_drink,drink
435,apple_lassi,welcome_drink,drink
436,sol_kadi,welcome_drink,drink
437,rose_lassi,welcome_drink,drink
438,sweet_lassi,welcome_drink,drink
439,mint_chutney,chutney,south_indian
440,coriander_chutney,chutney,south_indian
441,tomato_chutney,chutney,south_indian
442,peanut_chutney,chutney,south_indian
443,coconut_chutney,chutney,south_indian
444,hydrabad_chicken_biryani,nonveg_main,south_indian
445,dindugal_chicken_biryani,nonveg_main,south_indian
446,donne_chicken_biryani,nonveg_main,south_indian
447,natti_style_chicken_biryani,nonveg_main,south_indian
448,thalapakatti_chicken_biryani,nonveg_main,south_indian
449,lucknowi_chicken_biryani,nonveg_main,north_indian
450,ambur_chicken_biryani,nonveg_main,south_indian
451,bohri_chicken_biryani,nonveg_main,north_indian
452,murgh_dum_biryani,nonveg_main,north_indian
453,schezwan_dip,accompaniment,chinese
454,hot_garlic_sauce,accompaniment,chinese
455,khichdi,rice,north_indian
456,pongal,rice,south_indian
457,akki_roti,bread,south_indian
458,jowar_roti,bread,south_indian
459,bajra_roti,bread,south_indian
460,ragi_roti,bread,south_indian
461,set_dosa,bread,south_indian
462,majjge_huli,sambar,south_indian
463,soppu_saru,sambar,south_indian
464,curd_rice_with_pomegranate,rice,south_indian
465,curd_rice_with_grapes,rice,south_indian
466,curd_rice_with_tadka,rice,south_indian
467,burani_raita,curd_side,north_indian
468,veg_fried_rice,rice,chinese
469,veg_schezwan_fried_rice,rice,chinese
470,veg_chilli_garlic_fried_rice,rice,chinese
471,boondi_raita,curd_side,north_indian
472,veg_burnt_garlic_fried_rice,rice,chinese
473,veg_mushroom_fried_rice,rice,chinese
474,onion_raita,curd_side,south_indian
475,mixed_veg_raita,curd_side,north_indian
476,veg_paneer_fried_rice,rice,chinese
477,cucumber_raita,curd_side,south_indian
478,chilli_chicken_gravy,nonveg_main,chinese
479,chicken_manchurian_gravy,nonveg_main,chinese
480,schezwan_chicken_gravy,nonveg_main,chinese
481,hot_garlic_chicken_gravy,nonveg_main,chinese
482,pepper_chicken_gravy,nonveg_main,chinese
483,tomato_pappu,dal,south_indian
484,palak_pappu,dal,south_indian
485,gongura_pappu,dal,south_indian
486,sorakaya_pappu,dal,south_indian
487,beerakaya_pappu,dal,south_indian
488,sweet_chilli_dip,accompaniment,chinese
489,honey_chilli_dip,accompaniment,chinese
490,butter_naan,bread,north_indian
491,tandoori_roti,bread,north_indian
492,veg_hot_garlic_babycorn,starter,chinese
493,honey_glazed_paneer,starter,chinese
494,schezwan_mushroom,starter,chinese
495,soya_chunks_manchurian,starter,chinese
496,tamarind_chutney,chutney,south_indian
497,onion_chutney,chutney,south_indian
498,garlic_chutney,chutney,south_indian
499,mango_chutney,chutney,south_indian
500,ginger_chutney,chutney,south_indian
501,mint_raita,curd_side,north_indian
502,beetroot_raita,curd_side,north_indian
503,pineapple_raita,curd_side,north_indian
504,spinach_raita,curd_side,north_indian
505,carrot_raita,curd_side,north_indian
506,hyderabadi_veg_biriyani,rice,south_indian
507,kolkata_veg_biriyani,rice,north_indian
508,dum_veg_biriyani,rice,north_indian
509,mughlai_veg_biriyani,rice,north_indian
510,paneer_biriyani,rice,north_indian
511,mushroom_biriyani,rice,north_indian
512,soya_biriyani,rice,north_indian
513,veg_manchurian_gravy,veg_gravy,chinese
514,chilli_paneer_gravy,veg_gravy,chinese
515,hot_garlic_veg_gravy,veg_gravy,chinese
516,mushroom_manchurian_gravy,veg_gravy,chinese
517,schezwan_mixed_veg_gravy,veg_gravy,chinese
518,chilli_paneer_dry,veg_dry,chinese
519,gobi_manchurian_dry,veg_dry,chinese
520,babycorn_salt_and_pepper,veg_dry,chinese
521,honey_chilli_potato,veg_dry,chinese
522,crispy_corn_chilli,veg_dry,chinese
523,raw_banana_bajji,starter,south_indian
524,mix_dal_vada,starter,south_indian
525,mysore_bonda,starter,south_indian
526,gobi_65,starter,south_indian
527,Adhirasam,dessert,south_indian
528,french_onion_soup,soup,continental
529,miso_soup,soup,continental
530,tom_yum_soup,soup,continental
